curvature_label,curvature_m,ring_label,PASS,max_lateral_m,max_tilt_deg,max_spin_drift_frac,z_distance_m
flat,inf,none,False,0.07071067811865475,268.5195495177995,0.0,540051.7189355871
flat,inf,reference,False,74.86746537173372,275.2704034744016,0.0,73555.65634751512
flat,inf,bo_best,False,0.07071067811873659,258.31206757201124,0.0,528045.8437847503
Rc100m,100.0,none,True,0.07071067811865475,3.79426654527383,0.0,392032.2029784203
Rc100m,100.0,reference,False,31.817968508955136,368.6368207810924,0.0,90489.2419259743
Rc100m,100.0,bo_best,True,0.07071067811865475,4.070578088480398,0.0,391236.9194346666
Rc30m,30.0,none,True,0.07071067811865475,3.1214146226347306,0.0,413812.9554291077
Rc30m,30.0,reference,False,62.28562570460071,312.02747584340665,0.0,132311.60770238776
Rc30m,30.0,bo_best,True,0.07071067811927648,3.149374108370937,0.0,408020.3989324395
Rc10m,10.0,none,True,0.07071067811865475,3.5652227582315272,0.0,508286.7530102541
Rc10m,10.0,reference,True,0.07071067811865475,3.4483930009738395,0.0,488043.7744994026
Rc10m,10.0,bo_best,True,0.07071067811872953,3.513845269954982,0.0,494549.8799998732
Rc3m,3.0,none,False,0.07071067811865475,19.525627463703547,0.0,543431.1471850211
Rc3m,3.0,reference,False,0.07120856895289303,24.0411480919703,0.0,521144.98565668403
Rc3m,3.0,bo_best,False,0.07071067811872249,18.976559113718967,0.0,529927.708203978
