material,patch_frac,thickness_nm,fill,extra_g_per_m2,mean_R_NIR,mean_alpha_NIR,mean_eps_MIR,peak_eps_MIR,peak_lambda_um
none,0.0,0.0,0.0,0.0,0.5059059728881414,4.758098676964956e-16,0.1077604467591726,0.1925314209684852,12.0
SiC,0.5,50.0,0.25,0.040125,0.5104526670503807,7.485257721611445e-06,0.11751112717997723,0.26861313682417887,12.0
SiC,0.5,100.0,0.25,0.08025,0.5649028668497019,3.716830208235925e-05,0.12729193931444072,0.3043415583761432,12.0
SiC,0.5,200.0,0.25,0.1605,0.6607541966487168,6.144010971990568e-05,0.1387493853686603,0.35146156340095913,11.5
SiC,0.5,400.0,0.25,0.321,0.6869374822349406,5.5827729959863747e-05,0.15167428506783281,0.438921425273598,11.5
SiC,0.7,50.0,0.47265625,0.075861328125,0.48406542167559635,1.4747598619630185e-05,0.1337352673493146,0.36885614292423324,12.5
SiC,0.7,100.0,0.47265625,0.15172265625,0.4530880179138519,4.001601026291538e-05,0.1406295436088439,0.39895850804596944,12.5
SiC,0.7,200.0,0.47265625,0.3034453125,0.544483237953922,0.00010794192512173348,0.13910949797341587,0.365173940032781,12.5
SiC,0.7,400.0,0.47265625,0.606890625,0.5202421575656045,0.00011045711131007259,0.13501329012273888,0.293502281977458,11.0
SiC,0.9,50.0,0.8212890625,0.13181689453125,0.360999556515771,2.1135044736981484e-05,0.1048986283796792,0.2607786723538649,12.5
SiC,0.9,100.0,0.8212890625,0.2636337890625,0.2912609276017392,3.985026713631704e-05,0.08860823774957265,0.16393321931880397,12.5
SiC,0.9,200.0,0.8212890625,0.527267578125,0.2978815356953632,6.759794968853277e-05,0.07633411951026188,0.15293339892713242,11.0
SiC,0.9,400.0,0.8212890625,1.05453515625,0.4099372507965367,0.0001663128843735841,0.06373786223708738,0.13825946362530173,10.5
hBN,0.5,50.0,0.25,0.026250000000000002,0.5027646246012942,1.884977729537028e-05,0.10532404103835659,0.21172451043432972,13.0
hBN,0.5,100.0,0.25,0.052500000000000005,0.4888071327375335,8.398506169462234e-05,0.11026850891762992,0.28759718935194334,13.0
hBN,0.5,200.0,0.25,0.10500000000000001,0.5136086935991184,0.00016451191642880003,0.11032276171838659,0.2852598228470159,13.0
hBN,0.5,400.0,0.25,0.21000000000000002,0.589215089269706,0.0003271837974134832,0.11236049667345473,0.304930952610725,13.0
hBN,0.7,50.0,0.47265625,0.04962890625000001,0.47971235998715106,2.7846090945580454e-05,0.1078980076932535,0.3025240551642149,13.0
hBN,0.7,100.0,0.47265625,0.09925781250000001,0.45920837134603787,7.915090499716469e-05,0.10356482446793139,0.28204575208994953,13.0
hBN,0.7,200.0,0.47265625,0.19851562500000003,0.47541386530510826,0.0002712382394171756,0.10370650692516399,0.29523192315732116,13.0
hBN,0.7,400.0,0.47265625,0.39703125000000006,0.4905110469636101,0.0004444464976145479,0.10444312980849477,0.3223858850435677,13.0
hBN,0.9,50.0,0.8212890625,0.0862353515625,0.43682213705328815,0.0009082742378999405,0.0995830123243095,0.21099224297127317,13.0
hBN,0.9,100.0,0.8212890625,0.172470703125,0.3278373938922354,0.00013204429968286365,0.09961844829468833,0.2606408997359836,13.0
hBN,0.9,200.0,0.8212890625,0.34494140625,0.2913721707041922,0.0003042360013684504,0.09584706241549272,0.28166288301962394,13.0
hBN,0.9,400.0,0.8212890625,0.6898828125,0.35769904945741465,0.0004205080240756958,0.08072452468598751,0.24150888113540891,13.0
