label,mean_R_NIR,mean_T_NIR,mean_alpha_NIR,mean_eps_MIR,peak_eps_MIR,peak_lambda_um,areal_density_g_per_m2,extra_mass_g_per_m2,sail_mass_10m2_g,T_steady_K
none (bare PhC),0.5576684501125015,0.4423315498874972,1.3723590165505407e-15,0.10060006633390078,0.1822973582930707,11.5,0.41392531218081363,0.0,4.139253121808136,nan
graphene_x1,0.5158874247902044,0.42655611443051267,0.05755646077928288,0.10047234569987869,0.1666293476356998,12.5,0.4146953121808136,0.0007700000000000001,4.146953121808137,14991.719633182785
graphene_x5,0.38640734681599254,0.3829768117315628,0.23061584145244465,0.055806092477953775,0.10454831530349229,14.0,0.41777531218081365,0.0038500000000000006,4.177753121808137,24569.224430354676
graphene_x10,0.28316692825848894,0.3599308820780983,0.3569021896634128,0.028741191918389343,0.05320120816496421,14.0,0.42162531218081367,0.007700000000000001,4.216253121808136,32348.24147284473
SiC_50nm,0.3282128920349152,0.6717580599204901,2.9048044594660986e-05,0.09256962521026983,0.21842446045081798,12.5,0.5744253121808137,0.1605,5.7442531218081365,2293.5154298645407
SiC_100nm,0.21938508877355337,0.7805987259560734,1.6185270373355227e-05,0.07959074991421153,0.13187662413483506,12.5,0.7349253121808136,0.321,7.349253121808137,2057.8035277704917
SiC_250nm,0.33569935201280837,0.6641752044914545,0.00012544349573707155,0.06331800609888293,0.13164491010632418,11.0,1.2164253121808137,0.8025,12.164253121808136,3635.54727463258
hBN_50nm,0.38520801105095787,0.6147162156495044,7.577329953771528e-05,0.1025202624171939,0.22183673430032425,13.0,0.5189253121808137,0.10500000000000001,5.189253121808137,2841.294099111938
hBN_100nm,0.29696083944997187,0.7028962871720785,0.0001428733779496933,0.0996086918691328,0.2664089760142291,13.0,0.6239253121808136,0.21000000000000002,6.239253121808137,3353.5368737019385
hBN_250nm,0.1561176569474556,0.8436954915842981,0.00018685146824632467,0.08547704288138748,0.2484178846624023,13.0,0.9389253121808138,0.525,9.389253121808137,3726.0726924156643
